Original Title,Cited Articles
CRC handbook of combinatorial designs,Configuration space of geometric objects
CRC handbook of combinatorial designs,Almost perfect and planar functions
CRC handbook of combinatorial designs,Codes and designs related to lifted MRD codes
CRC handbook of combinatorial designs,New construction of mutually unbiased bases in square dimensions
CRC handbook of combinatorial designs,Deepmarks: A digital fingerprinting framework for deep neural networks
CRC handbook of combinatorial designs,The existence of designs via iterative absorption: hypergraph 𝐹-designs for arbitrary 𝐹
CRC handbook of combinatorial designs,On the construction of practical key predistribution schemes for distributed sensor networks using combinatorial designs
CRC handbook of combinatorial designs,On optimal locally repairable codes with super-linear length
CRC handbook of combinatorial designs,"Applications of combinatorial designs to communications, cryptography, and networking"
CRC handbook of combinatorial designs,On the construction of structured LDPC codes free of small trapping sets
CRC handbook of combinatorial designs,Markov bases in algebraic statistics
CRC handbook of combinatorial designs,Privacy-preserving decentralized aggregation for federated learning
CRC handbook of combinatorial designs,Sets of frequency hopping sequences: Bounds and optimal constructions
CRC handbook of combinatorial designs,Galois geometries and coding theory
CRC handbook of combinatorial designs,The existence of designs II
CRC handbook of combinatorial designs,Optimal experimental design
CRC handbook of combinatorial designs,Locating and detecting arrays for interaction faults
CRC handbook of combinatorial designs,The existence of designs via iterative absorption
CRC handbook of combinatorial designs,Designing test suites for software interaction testing
CRC handbook of combinatorial designs,Analysing quantum systems with randomised measurements
CRC handbook of combinatorial designs,Constructing strength three covering arrays with augmented annealing
CRC handbook of combinatorial designs,On the state of strength‐three covering arrays
CRC handbook of combinatorial designs,Nearly optimal asynchronous blind rendezvous algorithm for cognitive radio networks
CRC handbook of combinatorial designs,"LDPC code designs, constructions, and unification"
CRC handbook of combinatorial designs,Something about all or nothing (transforms)
CRC handbook of combinatorial designs,Products of mixed covering arrays of strength two
CRC handbook of combinatorial designs,Multimedia fingerprinting forensics for traitor tracing
CRC handbook of combinatorial designs,Optimal frequency hopping sequences: A combinatorial approach
CRC handbook of combinatorial designs,Transversals in Latin squares: a survey
CRC handbook of combinatorial designs,Metaheuristics and the search for covering and packing arrays
CRC handbook of combinatorial designs,组合测试: 原理与方法
Distance-regular graphs,Combinatorial landscapes
Distance-regular graphs,Network coding theory: A survey
Distance-regular graphs,Distance encoding: Design provably more powerful neural networks for graph representation learning
Distance-regular graphs,Rethinking the expressive power of gnns via graph biconnectivity
Distance-regular graphs,A survey of community detection methods in multilayer networks
Distance-regular graphs,Spectra of graphs
Distance-regular graphs,CRC handbook of combinatorial designs
Distance-regular graphs,Normal approximation by Stein's method
Distance-regular graphs,"The Z/sub 4/-linearity of Kerdock, Preparata, Goethals, and related codes"
Distance-regular graphs,Lower bounds for covering times for reversible Markov chains and random walks on graphs
Distance-regular graphs,Distance spectra of graphs: A survey
Distance-regular graphs,Projective geometries over finite fields
Distance-regular graphs,Design Theory: Volume 1
Distance-regular graphs,Permutation groups
Distance-regular graphs,Geometry of cuts and metrics
Distance-regular graphs,Algebraic combinatorics
Distance-regular graphs,Algebraic combinatorics
Distance-regular graphs,Grassmannian frames with applications to coding and communication
Distance-regular graphs,Coding for errors and erasures in random network coding
Distance-regular graphs,Handbook of linear algebra
Distance-regular graphs,Erdos–Ko–Rado theorems: algebraic approaches
Distance-regular graphs,Which graphs are determined by their spectrum?
Distance-regular graphs,Designs and their Codes
Distance-regular graphs,General Galois Geometries
Distance-regular graphs,Fourier analysis on finite groups and applications
Distance-regular graphs,"Combinatorics: topics, techniques, algorithms"
Distance-regular graphs,Double description method revisited
Distance-regular graphs,Interlacing eigenvalues and graphs
Distance-regular graphs,Spectral graph theory
Distance-regular graphs,The random walk construction of uniform spanning trees and uniform labelled trees
Distance-regular graphs,Pseudo-random graphs
Distance-regular graphs,Symmetry in interconnection networks based on Cayley graphs of permutation groups: A survey
Distance-regular graphs,"The subconstituent algebra of an association scheme,(part I)"
Distance-regular graphs,Chip-firing and the critical group of a graph
Distance-regular graphs,Maximal energy graphs
Distance-regular graphs,Topics in algebraic graph theory
Distance-regular graphs,A new series of dense graphs of high girth
Distance-regular graphs,Lattices and codes
Distance-regular graphs,Self-dual codes
Distance-regular graphs,"Base size, metric dimension and other invariants of groups and graphs"
Distance-regular graphs,Synthesizing personalized construction safety training scenarios for VR training
Distance-regular graphs,Codes and iterative decoding on general graphs
Distance-regular graphs,Self-dual codes and invariant theory
Distance-regular graphs,Association schemes and coding theory
Distance-regular graphs,Elements of quasigroup theory and applications
Distance-regular graphs,Grundzüge einer nichtkommutativen Designtheorie
Distance-regular graphs,Fitness landscapes
Distance-regular graphs,Unitary reflection groups
Distance-regular graphs,Quantum probability and spectral analysis of graphs
Distance-regular graphs,Landscapes and their correlation functions
Distance-regular graphs,Laplace eigenvalues of graphs—a survey
Distance-regular graphs,Lattices in product of trees
Distance-regular graphs,Fast generation of regular graphs and construction of cages
Distance-regular graphs,Quantum designs: Foundations of a noncommutative design theory
Distance-regular graphs,Metric graph theory and geometry: a survey
Distance-regular graphs,Two linear transformations each tridiagonal with respect to an eigenbasis of the other
Distance-regular graphs,Geometry of matrices: in memory of professor LK Hua (1910–1985)
Distance-regular graphs,Dynamic cage survey
Distance-regular graphs,"Association schemes: Designed experiments, algebra and combinatorics"
Distance-regular graphs,The lattice of integral flows and the lattice of integral cuts on a finite graph
Distance-regular graphs,"Algebraic graph theory: morphisms, monoids and matrices"
Distance-regular graphs,Concise encyclopedia of coding theory
Distance-regular graphs,Topics in graph automorphisms and reconstruction
Distance-regular graphs,Groups acting on trees: from local to global structure
Distance-regular graphs,Harmonic analysis on finite groups
Distance-regular graphs,Towards a theory of landscapes
Distance-regular graphs,Efficient reconstruction of sequences
Distance-regular graphs,Explicit construction of graphs with an arbitrary large girth and of large size
Distance-regular graphs,Distributed cache management in information-centric networks
Distance-regular graphs,An algebraic approach to association schemes
Distance-regular graphs,Global methods for combinatorial isoperimetric problems
Distance-regular graphs,On L2-cohomology and property (T) for automorphism groups of polyhedral cell complexes
Distance-regular graphs,Universal bounds for codes and designs
Distance-regular graphs,"On independent sets, 2-to-2 games, and Grassmann graphs"
Distance-regular graphs,Orthogonal representations over finite fields and the chromatic number of graphs
Distance-regular graphs,Some algebra related to -and -polynomial association schemes
Distance-regular graphs,On non-optimally expanding sets in Grassmann graphs
Distance-regular graphs,"1-skeleta, Betti numbers, and equivariant cohomology"
Distance-regular graphs,Closed‐form formulas for Kirchhoff index
Distance-regular graphs,Strongly regular graphs
Distance-regular graphs,Designs as maximum codes in polynomial metric spaces
Distance-regular graphs,Krawtchouk polynomials and universal bounds for codes and designs in Hamming spaces
Distance-regular graphs,Vertex-primitive graphs of order a product of two distinct primes
Distance-regular graphs,Generalized table algebras
Distance-regular graphs,The Gewirtz graph: an exercise in the theory of graph spectra
Distance-regular graphs,A linear construction for certain Kerdock and Preparata codes
Distance-regular graphs,Reduction of symmetric semidefinite programs using the regular-representation
Distance-regular graphs,Maximal energy bipartite graphs
Distance-regular graphs,Spectral determinations and eccentricity matrix of graphs
Distance-regular graphs,Claw finding algorithms using quantum walk
Distance-regular graphs,Regular graphs with four eigenvalues
Distance-regular graphs,Quasi-symmetric designs
Distance-regular graphs,Eigenvalues and perfect matchings
Distance-regular graphs,Fastest mixing Markov chain on graphs with symmetries
Distance-regular graphs,TWO RELATIONS THAT GENERALIZE THE -SERRE RELATIONS AND THE DOLAN-GRADY RELATIONS
Distance-regular graphs,Correcting charge-constrained errors in the rank-modulation scheme
Distance-regular graphs,Distance encoding–design provably more powerful gnns for structural representation learning
Distance-regular graphs,Symmetry in graphs
Distance-regular graphs,On the p -Rank of the Adjacency Matrices of Strongly Regular Graphs
Distance-regular graphs,On finite affine 2-arc transitive graphs
Distributing many points on a sphere,N-vortex problem: Analytical techniques
Distributing many points on a sphere,On virus growth and form
Distributing many points on a sphere,SARS-CoV-2 structure and replication characterized by in situ cryo-electron tomography
Distributing many points on a sphere,The LOFAR Two-metre Sky Survey-I. Survey description and preliminary data release
Distributing many points on a sphere,Spherenet: Learning spherical representations for detection and classification in omnidirectional images
Distributing many points on a sphere,Fundamentals of spherical array processing
Distributing many points on a sphere,Magnetic resonance fingerprinting
Distributing many points on a sphere,The cytotoxic Staphylococcus aureus PSMα3 reveals a cross-α amyloid-like fibril
Distributing many points on a sphere,Approximation theory and harmonic analysis on spheres and balls
Distributing many points on a sphere,Chebyshev and Fourier spectral methods
Distributing many points on a sphere,HEALPix: A framework for high-resolution discretization and fast analysis of data distributed on the sphere
Distributing many points on a sphere,Geometry of quantum states: an introduction to quantum entanglement
Distributing many points on a sphere,The crystal structure of a biological insulated transmembrane molecular wire
Distributing many points on a sphere,An immersed boundary method with direct forcing for the simulation of particulate flows
Distributing many points on a sphere,Mathematical problems for the next century
Distributing many points on a sphere,Spherical harmonics and approximations on the unit sphere: an introduction
Distributing many points on a sphere,Convex analysis and global optimization
Distributing many points on a sphere,Net-shaped DNA nanostructures designed for rapid/sensitive detection and potential inhibition of the SARS-CoV-2 virus
Distributing many points on a sphere,Algebraic combinatorics
Distributing many points on a sphere,Structure of human DROSHA
Distributing many points on a sphere,A panoramic view of Riemannian geometry
Distributing many points on a sphere,Geodesic discrete global grid systems
Distributing many points on a sphere,An introduction to finite tight frames
Distributing many points on a sphere,A primer on radial basis functions with applications to the geosciences
Distributing many points on a sphere,Ultrashort echo time imaging using pointwise encoding time reduction with radial acquisition (PETRA)
Distributing many points on a sphere,Indoor MIMO visible light communications: Novel angle diversity receivers for mobile users
Distributing many points on a sphere,Recurrent pixel embedding for instance grouping
Distributing many points on a sphere,Coordinate Independent Convolutional Networks--Isometry and Gauge Equivariant Convolutions on Riemannian Manifolds
Distributing many points on a sphere,Coulomb and Riesz gases: The known and the unknown
Distributing many points on a sphere,Crystal structure and functional analysis of the SARS-coronavirus RNA cap 2′-O-methyltransferase nsp10/nsp16 complex
Distributing many points on a sphere,Measurement of areas on a sphere using Fibonacci and latitude–longitude lattices
Distributing many points on a sphere,"The green bank northern celestial cap pulsar survey. I. Survey description, data analysis, and initial results"
Distributing many points on a sphere,Constructive approximation on the sphere: with applications to geomathematics
Distributing many points on a sphere,Metrology of freeform shaped parts
Distributing many points on a sphere,The LOFAR LBA Sky Survey-II. First data release
Distributing many points on a sphere,AK-DS: An adaptive Kriging-based directional sampling method for reliability analysis
Distributing many points on a sphere,Finite normalized tight frames
Distributing many points on a sphere,Learning towards minimum hyperspherical energy
Distributing many points on a sphere,Lectures on Coulomb and Riesz gases
Distributing many points on a sphere,Tailorable plasmonic circular dichroism properties of helical nanoparticle superstructures
Distributing many points on a sphere,Spherical view synthesis for self-supervised 360 depth estimation
Distributing many points on a sphere,Two-dimensional wavelets and their relatives
Distributing many points on a sphere,"Two-dimensional matter: order, curvature and defects"
Distributing many points on a sphere,The Human LL-37 (17-29) antimicrobial peptide reveals a functional supramolecular structure
Distributing many points on a sphere,Handbook of global optimization: Volume 2
Distributing many points on a sphere,"Analysis of ESAFORM 2021 cup drawing benchmark of an Al alloy, critical factors for accuracy and efficiency of FE simulations"
Distributing many points on a sphere,The multiple inverse method: a new technique to separate stresses from heterogeneous fault-slip data
Distributing many points on a sphere,Quantum concepts in optical polarization
Distributing many points on a sphere,Modulation of isotropic turbulence by particles of Taylor length-scale size
Distributing many points on a sphere,PocketPicker: analysis of ligand binding-sites with shape descriptors
Distributing many points on a sphere,Capturing robot workspace structure: representing robot capabilities
Distributing many points on a sphere,Low complexity domains of the nucleocapsid protein of SARS-CoV-2 form amyloid fibrils
Distributing many points on a sphere,Directional methods for structural reliability analysis
Distributing many points on a sphere,A partition of the unit sphere into regions of equal area and small diameter
Distributing many points on a sphere,The mechanism of linkage-specific ubiquitin chain elongation by a single-subunit E2
Distributing many points on a sphere,H3: Laying out large directed graphs in 3D hyperbolic space
Distributing many points on a sphere,Clathrin coats partially preassemble and subsequently bend during endocytosis
Distributing many points on a sphere,Fibonacci grids: A novel approach to global modelling
Distributing many points on a sphere,Exclusion of cosmic rays in protoplanetary disks: stellar and magnetic effects
Distributing many points on a sphere,A novel hybrid sequential design strategy for global surrogate modeling of computer experiments
Distributing many points on a sphere,Discretizing manifolds via minimum energy points
Distributing many points on a sphere,Towards a pharmacophore for amyloid
Distributing many points on a sphere,"The wide-field, multiplexed, spectroscopic facility WEAVE: Survey design, overview, and simulated implementation"
Distributing many points on a sphere,Vortex crystals
Distributing many points on a sphere,Analysis and synthesis of sound-radiation with spherical arrays
Distributing many points on a sphere,Human leukocyte antigen F presents peptides and regulates immunity through interactions with NK cell receptors
Distributing many points on a sphere,Generating Uniform Incremental Grids on SO (3) Using the Hopf Fibration
Distributing many points on a sphere,Extremal systems of points and numerical integration on the sphere
Distributing many points on a sphere,Extreme amyloid polymorphism in Staphylococcus aureus virulent PSMα peptides
Distributing many points on a sphere,Reactivity of amorphous carbon surfaces: rationalizing the role of structural motifs in functionalization using machine learning
Distributing many points on a sphere,Crystalline order on a sphere and the generalized Thomson problem
Distributing many points on a sphere,Large deviation principle for empirical fields of Log and Riesz gases
Distributing many points on a sphere,The LOFAR LBA Sky Survey-I. Survey description and preliminary data release
Distributing many points on a sphere,A survey on spherical designs and algebraic combinatorics on spheres
Distributing many points on a sphere,Optimal asymptotic bounds for spherical designs
Distributing many points on a sphere,Structural and functional studies of a phosphatidic acid-binding antifungal plant defensin MtDef4: identification of an RGFRRR motif governing fungal cell entry
Distributing many points on a sphere,3D radial projection technique with ultrashort echo times for sodium MRI: clinical applications in human brain and skeletal muscle
Distributing many points on a sphere,p66α–MBD2 coiled-coil interaction and recruitment of Mi-2 are critical for globin gene silencing by the MBD2–NuRD complex
Distributing many points on a sphere,3D characterization and analysis of particle shape using X-ray microtomography (XMT)
Distributing many points on a sphere,Benchmarking optimization software with COPS 3.0.
Distributing many points on a sphere,Spatially regularized compressed sensing for high angular resolution diffusion imaging
Distributing many points on a sphere,Transients from ONe white dwarf–neutron star/black hole mergers
Distributing many points on a sphere,Reuleaux: Robot base placement by reachability analysis
Distributing many points on a sphere,Recognizing text in a multicolor image
Distributing many points on a sphere,Minimal Riesz energy point configurations for rectifiable d-dimensional manifolds
Distributing many points on a sphere,Hyperspherical prototype networks
Distributing many points on a sphere,Distributing many points on spheres: minimal energy and designs
Distributing many points on a sphere,A method to integrate and classify normal distributions
Distributing many points on a sphere,Semi-automatic construction of reference standards for evaluation of image registration
Distributing many points on a sphere,Comparing geometrical properties of global grids
Distributing many points on a sphere,Generalized decomposition and cross entropy methods for many-objective optimization
Distributing many points on a sphere,Chaotic eigenfunctions in phase space
Distributing many points on a sphere,Dependence on b-value of the direction-averaged diffusion-weighted imaging signal in brain
Distributing many points on a sphere,"Global optimization: software, test problems, and applications"
Distributing many points on a sphere,Appearance-based loop detection from 3D laser data using the normal distributions transform
Distributing many points on a sphere,Calculation of accurate interatomic contact surface areas for the quantitative analysis of non-bonded molecular interactions
Distributing many points on a sphere,2D Coulomb gases and the renormalized energy
Distributing many points on a sphere,Extremal quantum states
Distributing many points on a sphere,Systems of points with Coulomb interactions
Distributing many points on a sphere,Mass transfer in white dwarf–neutron star binaries
Permutation groups,Recent developments on the power graph of finite groups–a survey
Permutation groups,Symmetry in integer linear programming
Permutation groups,The maximal subgroups of the low-dimensional finite classical groups
Permutation groups,Design Theory: Volume 1
Permutation groups,The finite simple groups
Permutation groups,Handbook of computational group theory
Permutation groups,Permutation group algorithms
Permutation groups,Classical groups and geometric algebra
Permutation groups,Multiqubit Clifford groups are unitary 3-designs
Permutation groups,Subgroup growth
Permutation groups,Topics in algebraic graph theory
Permutation groups,Oligomorphic permutation groups
Permutation groups,"Base size, metric dimension and other invariants of groups and graphs"
Permutation groups,Classification algorithms for codes and designs
Permutation groups,"On finitely generated profinite groups, I: strong completeness and uniform bounds"
Permutation groups,Dynamic cage survey
Permutation groups,"Association schemes: Designed experiments, algebra and combinatorics"
Permutation groups,Topics in graph automorphisms and reconstruction
Permutation groups,Symmetry in complex networks
Permutation groups,Groups acting on trees: from local to global structure
Permutation groups,Harmonic analysis on finite groups
Permutation groups,"Reversible computing: fundamentals, quantum computing, and applications"
Permutation groups,Orbital branching
Permutation groups,Finitely presented simple groups and products of trees
Permutation groups,"Classical groups, derangements and primes"
Permutation groups,A course on finite groups
Permutation groups,"Simple groups, permutation groups, and probability"
Permutation groups,Joint remote preparation of an arbitrary three-qubit state
Permutation groups,Analysing finite locally 𝑠-arc transitive graphs
Permutation groups,On the quantum chromatic number of a graph
Permutation groups,Finite geometry and combinatorial applications
Permutation groups,Between primitive and 2-transitive: synchronization and its friends
Permutation groups,Solving the single-row facility layout problem by K-medoids memetic permutation group
Permutation groups,Permutation orbifolds and holography
Permutation groups,Introduction to algebra
Permutation groups,Coarse geometry of topological groups
Permutation groups,Multipermutation solutions of the Yang–Baxter equation
Permutation groups,Base sizes for sporadic simple groups
Permutation groups,The Clifford group fails gracefully to be a unitary 4-design
Permutation groups,Base sizes for simple groups and a conjecture of Cameron
Permutation groups,On base sizes for symmetric groups
Permutation groups,On generalised Paley graphs and their automorphism groups
Permutation groups,Tensor-valued random fields for continuum physics
Permutation groups,Characteristics of the number of conjugacy classes and P-regular classes in finite symmetric groups
Permutation groups,Permutation symmetry determines the discrete Wigner function
Permutation groups,"On automorphisms of distance-regular graphs with intersection array {56, 45, 1; 1, 9, 56}"
Permutation groups,Fast matrix multiplication using coherent configurations
Permutation groups,"Improved bounds for the crossing numbers of Km, n and Kn"
Permutation groups,Automorphisms of graphs
Permutation groups,An Erdős–Ko–Rado theorem for finite 2-transitive groups
Permutation groups,The exact factorizations of almost simple groups
Permutation groups,Symmetry-assisted adversaries for quantum state generation
Permutation groups,Bounding nonminimality and a conjecture of Borovik–Cherlin
Permutation groups,Regular embeddings of complete bipartite graphs: classification and enumeration
Permutation groups,Simple locally compact groups acting on trees and their germs of automorphisms
Permutation groups,A proof of gross' conjecture on 2‐automorphic 2‐groups
Permutation groups,Super-symmetric informationally complete measurements
Permutation groups,Probabilistic existence of regular combinatorial structures
Permutation groups,Moore determinant of dual quaternion Hermitian matrices
Permutation groups,Resolving sets for Johnson and Kneser graphs
Permutation groups,Polynomial approximation algorithms for the TSP and the QAP with a factorial domination number
Permutation groups,Search for properties of the missing Moore graph
Permutation groups,Approximations of isomorphism and logics with linear-algebraic operators
Permutation groups,Base sizes for primitive groups with soluble stabilisers
Permutation groups,Numerical computation of Galois groups
Permutation groups,Groups: An Introduction to Ideas and Methods of the Theory of Groups
Permutation groups,"An Erdős–Ko–Rado theorem for the derangement graph of PGL (2, q) acting on the projective line"
Permutation groups,On 2-arc-transitivity of Cayley graphs
Permutation groups,Об автоморфизмах дистанционно регулярного графа с массивом пересечений
Permutation groups,A Latin square autotopism secret sharing scheme
Permutation groups,Cycle structure of autotopisms of quasigroups and Latin squares
Permutation groups,Incidence geometry from an algebraic graph theory point of view
Permutation groups,Finite edge-transitive Cayley graphs and rotary Cayley maps
Permutation groups,Symmetry analysis of reversible Markov chains
Permutation groups,All 2-transitive groups have the EKR-module property
Permutation groups,A proof of Pyber's base size conjecture
Permutation groups,All Alternating Groups with Have Polytopes of Rank
Permutation groups,"Mathematical Foundations of Image Processing and Analysis, Volume 2"
Permutation groups,Cores of symmetric graphs
Permutation groups,Complexity and Randomness in Group Theory: GAGTA BOOK 1
Permutation groups,On some block ciphers and imprimitive groups
Permutation groups,"Boltzmann samplers, Pólya theory, and cycle pointing"
Permutation groups,"Factorizations of almost simple groups with a solvable factor, and Cayley graphs of solvable groups"
Permutation groups,Quantum Lie theory
Permutation groups,Uniformity in association schemes and coherent configurations: cometric Q-antipodal schemes and linked systems
Permutation groups,Polish topologies on endomorphism monoids of relational structures
Permutation groups,Computerized analysis of error patterns in digit span recall
Permutation groups,Error-correcting codes from permutation groups
Permutation groups,Covering radius for sets of permutations
Permutation groups,On fixed points of permutations
Permutation groups,On the regularity number of a finite group and other base‐related invariants
Permutation groups,"Completely reachable automata, primitive groups and the state complexity of the set of synchronizing words"
Permutation groups,On imprimitive rank 3 permutation groups
Permutation groups,Computing maximal subgroups of finite groups
Permutation groups,Orbits of permutation groups on the power set
Permutation groups,On the orbits of Singer groups and their subgroups
Permutation groups,Tropical matrix groups
Permutation groups,The classification of almost simple\tfrac {3} 2-transitive groups
Permutation groups,Frequency permutation subsets for joint radar and communication
Permutation groups,A theory of transformation monoids: combinatorics and representation theory
Algebraic combinatorics,Spectra of graphs
Algebraic combinatorics,A 'missing'family of classical orthogonal polynomials
Algebraic combinatorics,CRC handbook of combinatorial designs
Algebraic combinatorics,Distance-regular graphs
Algebraic combinatorics,Group representations in probability and statistics
Algebraic combinatorics,Orthogonal arrays: theory and applications
Algebraic combinatorics,Applications of hyperstructure theory
Algebraic combinatorics,Design Theory: Volume 1
Algebraic combinatorics,Permutation groups
Algebraic combinatorics,"Log-concave and unimodal sequences in algebra, combinatorics, and geometry"
Algebraic combinatorics,Algebraic combinatorics
Algebraic combinatorics,Handbook of linear algebra
Algebraic combinatorics,Erdos–Ko–Rado theorems: algebraic approaches
Algebraic combinatorics,Representations of Lie groups and special functions
Algebraic combinatorics,Fourier analysis on finite groups and applications
Algebraic combinatorics,Symmetry in interconnection networks based on Cayley graphs of permutation groups: A survey
Algebraic combinatorics,"The subconstituent algebra of an association scheme,(part I)"
Algebraic combinatorics,Commutative association schemes
Algebraic combinatorics,Introduction to Leonard pairs
Algebraic combinatorics,Distance-regular graphs
Algebraic combinatorics,Sperner theory
Algebraic combinatorics,"Base size, metric dimension and other invariants of groups and graphs"
Algebraic combinatorics,Association schemes and coding theory
Algebraic combinatorics,Elements of quasigroup theory and applications
Algebraic combinatorics,Quantum probability and spectral analysis of graphs
Algebraic combinatorics,Boundary conditions in rational conformal field theories
Algebraic combinatorics,Two linear transformations each tridiagonal with respect to an eigenbasis of the other
Algebraic combinatorics,Geometry of matrices: in memory of professor LK Hua (1910–1985)
Algebraic combinatorics,An introduction to quasigroups and their representations
Algebraic combinatorics,"Association schemes: Designed experiments, algebra and combinatorics"
Algebraic combinatorics,Classical orthogonal polynomials
Algebraic combinatorics,A survey of partial difference sets
Algebraic combinatorics,Harmonic analysis on finite groups
Algebraic combinatorics,A survey on spherical designs and algebraic combinatorics on spheres
Algebraic combinatorics,An algebraic approach to association schemes
Algebraic combinatorics,Universal bounds for codes and designs
Algebraic combinatorics,Some algebra related to -and -polynomial association schemes
Algebraic combinatorics,Strongly regular graphs
Algebraic combinatorics,Designs as maximum codes in polynomial metric spaces
Algebraic combinatorics,Krawtchouk polynomials and universal bounds for codes and designs in Hamming spaces
Algebraic combinatorics,"On α-Induction, Chiral Generators and¶ Modular Invariants for Subfactors"
Algebraic combinatorics,Leonard pairs and the Askey–Wilson relations
Algebraic combinatorics,Generalized table algebras
Algebraic combinatorics,Quasi-symmetric designs
Algebraic combinatorics,TWO RELATIONS THAT GENERALIZE THE -SERRE RELATIONS AND THE DOLAN-GRADY RELATIONS
Algebraic combinatorics,Distance regular covers of the complete graph
Algebraic combinatorics,Representations of groups: a computational approach
Algebraic combinatorics,Invariant semidefinite programs
Algebraic combinatorics,An algebraic approach to the Askey scheme of orthogonal polynomials
Algebraic combinatorics,Deza graphs: A generalization of strongly regular graph
Algebraic combinatorics,Complexity of semi-algebraic proofs
Algebraic combinatorics,Orthogonal polynomials—constructive theory and applications
Algebraic combinatorics,A new proof of the Erdős–Ko–Rado theorem for intersecting families of permutations
Algebraic combinatorics,The Terwilliger algebra of the hypercube
Algebraic combinatorics,Dunkl shift operators and Bannai–Ito polynomials
Algebraic combinatorics,Semi-distributed load balancing for massively parallel multicomputer systems
Algebraic combinatorics,The many faces of Ocneanu cells
Algebraic combinatorics,Cellular rings and groups of automorphisms of graphs
Algebraic combinatorics,Perfect state transfer on distance-regular graphs and association schemes
Algebraic combinatorics,Nonsemisimple fusion algebras and the Verlinde formula
Algebraic combinatorics,New upper bounds for nonbinary codes based on the Terwilliger algebra and semidefinite programming
Algebraic combinatorics,Leonard pairs and the q-Racah polynomials
Algebraic combinatorics,Two linear transformations each tridiagonal with respect to an eigenbasis of the other; comments on the parameter array
Algebraic combinatorics,Tridiagonal pairs and the quantum affine algebra
Algebraic combinatorics,Multivariate P-and/or Q-polynomial association schemes
Algebraic combinatorics,Algebraic Heun operator and band-time limiting
Algebraic combinatorics,The minimum distance of some narrow-sense primitive BCH codes
Algebraic combinatorics,Fast discrete polynomial transforms with applications to data analysis for distance transitive graphs
Algebraic combinatorics,On table algebras and applications to finite group theory
Algebraic combinatorics,Convergence to equilibrium under a random Hamiltonian
Algebraic combinatorics,Subschemes of some association schemes
Algebraic combinatorics,Table algebras
Algebraic combinatorics,Entanglement of inhomogeneous free fermions on hyperplane lattices
Algebraic combinatorics,Representation theory and harmonic analysis of wreath products of finite groups
Algebraic combinatorics,Locally pseudo-distance-regular graphs
Algebraic combinatorics,Bivariate P-polynomial association schemes
Algebraic combinatorics,"A quaternary cyclic code, and a family of quadriphase sequences with low correlation properties"
Algebraic combinatorics,The augmented tridiagonal algebra
Algebraic combinatorics,Hypercontractivity on the symmetric group
Algebraic combinatorics,Multipartite information of free fermions on Hamming graphs
Algebraic combinatorics,Schur rings
Algebraic combinatorics,Three-class association schemes
Algebraic combinatorics,Separation cut-offs for birth and death chains
Algebraic combinatorics,Discrete quantum mechanics
Algebraic combinatorics,"Distance-regular graphs, the subconstituent algebra, and the Q-polynomial property"
Algebraic combinatorics,"Projective geometries, Q-polynomial structures, and quantum groups"
Algebraic combinatorics,A bivariate Q-polynomial structure for the non-binary Johnson scheme
Algebraic combinatorics,The theory of difference analogues of special functions of hypergeometric type
Algebraic combinatorics,Tight distance-regular graphs
Algebraic combinatorics,The Askey–Wilson algebra and its avatars
Algebraic combinatorics,Orthogonal basis for functions over a slice of the Boolean hypercube
Algebraic combinatorics,An analogue of Vosper's theorem for extension fields
Algebraic combinatorics,Sharp hypercontractivity for symmetric groups and its applications
Algebraic combinatorics,The Terwilliger algebras of bipartite P-and Q-polynomial schemes
Algebraic combinatorics,Decomposition algebras and axial algebras
Algebraic combinatorics,The incidence algebra of a uniform poset
Algebraic combinatorics,Leonard pairs from 24 points of view
Algebraic combinatorics,Permutation group approach to association schemes
Algebraic combinatorics,Quantum multi-anomaly detection
Algebraic combinatorics,Algebraic characterizations of distance-regular graphs
Algebraic combinatorics,"Advancing Uncertain Combinatorics through Graphization, Hyperization, and Uncertainization: Fuzzy, Neutrosophic, Soft, Rough, and Beyond: Second volume"
Algebraic combinatorics,Reconstruction for powerful graph representations
Algebraic combinatorics,Spectra of graphs
Algebraic combinatorics,Optimal mixing of Glauber dynamics: Entropy factorization via high-dimensional expansion
Algebraic combinatorics,Graphs and matrices
Algebraic combinatorics,Analytic Combinatorics
Algebraic combinatorics,Graph spectra for complex networks
Algebraic combinatorics,CRC handbook of combinatorial designs
Algebraic combinatorics,Interlacing families I: Bipartite Ramanujan graphs of all degrees
Algebraic combinatorics,Design Theory: Volume 1
Algebraic combinatorics,Algebraic combinatorics
Algebraic combinatorics,"Graphs, networks and algorithms"
Algebraic combinatorics,Handbook of linear algebra
Algebraic combinatorics,Erdos–Ko–Rado theorems: algebraic approaches
Algebraic combinatorics,Which graphs are determined by their spectrum?
Algebraic combinatorics,Fourier analysis on finite groups and applications
Algebraic combinatorics,Interlacing eigenvalues and graphs
Algebraic combinatorics,Some applications of Laplace eigenvalues of graphs
Algebraic combinatorics,Classical deterministic complexity of Edmonds' problem and quantum entanglement
Algebraic combinatorics,Decentralized control of vehicle formations
Algebraic combinatorics,Spectral graph theory
Algebraic combinatorics,The Hosoya index of graphs formed by a fractal graph
Algebraic combinatorics,Theory of reproducing kernels and applications
Algebraic combinatorics,A proof of Alon's second eigenvalue conjecture and related problems
Algebraic combinatorics,Modularity-aware graph autoencoders for joint community detection and link prediction
